category,logo,color_svg,color_png,black_svg,black_png,white_svg,white_png,origin,source_raster,note,source_url
clients,ameriprise,ameriprise.svg,ameriprise.png,ameriprise-black.svg,ameriprise-black.png,ameriprise-white.svg,ameriprise-white.png,published vector,,Ameriprise Financial's own artwork,https://commons.wikimedia.org/wiki/File:Ameriprise_Financial_logo.svg
clients,andersen-windows,andersen-windows.svg,andersen-windows.png,andersen-windows-black.svg,andersen-windows-black.png,andersen-windows-white.svg,andersen-windows-white.png,published vector,,,https://www.andersenwindows.com/
clients,aurora-health-care,aurora-health-care.svg,aurora-health-care.png,aurora-health-care-black.svg,aurora-health-care-black.png,aurora-health-care-white.svg,aurora-health-care-white.png,traced,_raster-originals/clients/aurora-health-care-source.png,"traced from their own footer lockup, which now carries the 'Now part of Advocate Health' line",https://www.aurorahealthcare.org/
clients,banner-bank,banner-bank.svg,banner-bank.png,banner-bank-black.svg,banner-bank-black.png,banner-bank-white.svg,banner-bank-white.png,traced,,"colour is traced from the 267x75 raster inside their wrapped SVG, white field flood-filled away. The one-colour cuts are NOT from that trace: they are built with --cuts-from _raster-originals/clients/banner-bank-stacked-onecolor.png, Banner Bank's stacked black lockup, supplied rather than harvested — so the cuts are the owner's own one-colour mark and a different layout from the horizontal colour file. Rebuilding the cuts from the colour art instead needs --gap-colour #0260af --gap-px 20, or the swoosh swallows the leading B",https://www.bannerbank.com/-/media/project/banner-bank/dotcom/banner-bank-logo.svg
clients,bcu,bcu.svg,bcu.png,bcu-black.svg,bcu-black.png,bcu-white.svg,bcu-white.png,traced,_raster-originals/clients/bcu-alt.png,,https://www.rbaconsulting.com/wp-content/uploads/2019/07/bcu-logo.png
clients,best-buy,best-buy.svg,best-buy.png,best-buy-black.svg,best-buy-black.png,best-buy-white.svg,best-buy-white.png,published vector,,replaces a white-only trace: yellow tag and dark wordmark restored,https://commons.wikimedia.org/wiki/File:Best_Buy_logo_2018.svg
clients,boston-scientific,boston-scientific.svg,boston-scientific.png,boston-scientific-black.svg,boston-scientific-black.png,boston-scientific-white.svg,boston-scientific-white.png,published vector,,,https://www.bostonscientific.com/
clients,caleres,caleres.svg,caleres.png,caleres-black.svg,caleres-black.png,caleres-white.svg,caleres-white.png,published vector,,Caleres publishes only the reversed lockup; the colour file therefore carries an opaque midnight plate rather than transparency,https://www.caleres.com/
clients,cargill,cargill.svg,cargill.png,cargill-black.svg,cargill-black.png,cargill-white.svg,cargill-white.png,published vector,,replaces a white-only trace: green swoosh and black wordmark restored,https://commons.wikimedia.org/wiki/File:Cargill_logo.svg
clients,ch-robinson,ch-robinson.svg,ch-robinson.png,ch-robinson-black.svg,ch-robinson-black.png,ch-robinson-white.svg,ch-robinson-white.png,published vector,,,https://www.chrobinson.com/
clients,chs,chs.svg,chs.png,chs-black.svg,chs-black.png,chs-white.svg,chs-white.png,published vector,,CHS Inc's own artwork; nominally 91x51 but a true vector,https://commons.wikimedia.org/wiki/File:CHS_Inc._logo.svg
clients,edina-realty,edina-realty.svg,edina-realty.png,edina-realty-black.svg,edina-realty-black.png,edina-realty-white.svg,edina-realty-white.png,traced,_raster-originals/clients/edina-realty-alt.png,,https://www.rbaconsulting.com/wp-content/uploads/2019/07/Edina_Realty_logo.png
clients,essentia-health,essentia-health.svg,essentia-health.png,essentia-health-black.svg,essentia-health-black.png,essentia-health-white.svg,essentia-health-white.png,published vector,,the site only publishes a reversed white-text cut; the deck carried the full-colour vector,"Logo library.pptx (embedded vector, Essentia's own artwork)"
clients,famous-footwear,famous-footwear.svg,famous-footwear.png,famous-footwear-black.svg,famous-footwear-black.png,famous-footwear-white.svg,famous-footwear-white.png,native,,,https://www.rbaconsulting.com/wp-content/uploads/2023/01/Famous-Footwear-Logo.svg
clients,fastenal,fastenal.svg,fastenal.png,fastenal-black.svg,fastenal-black.png,fastenal-white.svg,fastenal-white.png,published vector,,replaces a white-only trace: brand blue restored,https://commons.wikimedia.org/wiki/File:Fastenal_logo.svg
clients,ford,ford.svg,ford.png,ford-black.svg,ford-black.png,ford-white.svg,ford-white.png,published vector,,"Ford's own flat artwork. Replaces the gradient cut, whose chrome script fragmented in one colour: the mid-tone parts of the gradient counted as ink while the near-white parts knocked out",https://commons.wikimedia.org/wiki/File:Ford_logo_flat.svg
clients,hb-fuller,hb-fuller.svg,hb-fuller.png,hb-fuller-black.svg,hb-fuller-black.png,hb-fuller-white.svg,hb-fuller-white.png,native,,,https://www.rbaconsulting.com/wp-content/uploads/2023/01/HB-Fuller-Logo.svg
clients,intel,intel.svg,intel.png,intel-black.svg,intel-black.png,intel-white.svg,intel-white.png,published vector,,current flat 2023 wordmark; the deck carried the pre-2020 'intel.' with the swoosh,https://commons.wikimedia.org/wiki/File:Intel_logo_2023.svg
clients,medtronic,medtronic.svg,medtronic.png,medtronic-black.svg,medtronic-black.png,medtronic-white.svg,medtronic-white.png,published vector,,,https://commons.wikimedia.org/wiki/File:Medtronic_logo.svg
clients,mortenson,mortenson.svg,mortenson.png,mortenson-black.svg,mortenson-black.png,mortenson-white.svg,mortenson-white.png,published vector,,,https://www.mortenson.com/
clients,mutual-of-omaha,mutual-of-omaha.svg,mutual-of-omaha.png,mutual-of-omaha-black.svg,mutual-of-omaha-black.png,mutual-of-omaha-white.svg,mutual-of-omaha-white.png,published vector,,"their own navy (#003a70) vector, a sibling of the white cut found first",https://cdn.mutualofomaha.com/images/corporate/logos/mutual-brand-blue.svg
clients,nutrition-incentive-hub,nutrition-incentive-hub.svg,nutrition-incentive-hub.png,nutrition-incentive-hub-black.svg,nutrition-incentive-hub-black.png,nutrition-incentive-hub-white.svg,nutrition-incentive-hub-white.png,traced,_raster-originals/clients/nutrition-incentive-hub.png,,https://www.rbaconsulting.com/wp-content/uploads/2022/09/Nutrition-Incentive-Hub-Logo.png
clients,nutrition-incentive-hub-gscn,nutrition-incentive-hub-gscn.svg,nutrition-incentive-hub-gscn.png,nutrition-incentive-hub-gscn-black.svg,nutrition-incentive-hub-gscn-black.png,nutrition-incentive-hub-gscn-white.svg,nutrition-incentive-hub-gscn-white.png,published vector,,replaces RBA's white-only cut with the Hub's own colour SVG,https://www.nutritionincentivehub.org/wwwroot/assets/img/gscn-logo.svg
clients,optum,optum.svg,optum.png,optum-black.svg,optum-black.png,optum-white.svg,optum-white.png,published vector,,deck art was 29x9; this is Optum's own vector,https://www.optum.com/
clients,panda-health,panda-health.svg,panda-health.png,panda-health-black.svg,panda-health-black.png,panda-health-white.svg,panda-health-white.png,native,,,https://www.rbaconsulting.com/wp-content/uploads/2025/04/panda-health-logo.svg
clients,patterson-companies,patterson-companies.svg,patterson-companies.png,patterson-companies-black.svg,patterson-companies-black.png,patterson-companies-white.svg,patterson-companies-white.png,published vector,,,https://www.pattersoncompanies.com/
clients,perrigo,perrigo.svg,perrigo.png,perrigo-black.svg,perrigo-black.png,perrigo-white.svg,perrigo-white.png,published vector,,Perrigo Company plc's own artwork,https://commons.wikimedia.org/wiki/File:Perrigo_logo.svg
clients,post-consumer-brands,post-consumer-brands.svg,post-consumer-brands.png,post-consumer-brands-black.svg,post-consumer-brands-black.png,post-consumer-brands-white.svg,post-consumer-brands-white.png,published vector,,replaces a white-only trace: red field with white Post script restored,https://www.postconsumerbrands.com/
clients,riverside,riverside.svg,riverside.png,riverside-black.svg,riverside-black.png,riverside-white.svg,riverside-white.png,traced,_raster-originals/clients/riverside-source.png,traced from their own 649px header PNG; identity confirmed as Riverside Healthcare by matching the deck art,https://www.riversidehealthcare.org/
clients,rsm,rsm.svg,rsm.png,rsm-black.svg,rsm-black.png,rsm-white.svg,rsm-white.png,traced,_raster-originals/clients/rsm-source.png,traced from their own 250px header PNG. Commons' 'RSM-RVB logo-couleur.svg' is an unrelated seahorse crest and its 'RSM wordmark/crest' files are the Royal Society of Medicine,https://rsmus.com/
clients,surescripts,surescripts.svg,surescripts.png,surescripts-black.svg,surescripts-black.png,surescripts-white.svg,surescripts-white.png,published vector,,,Logo library.pptx (embedded vector)
clients,target,target.svg,target.png,target-black.svg,target-black.png,target-white.svg,target-white.png,published vector,,bullseye with the Expect More Pay Less lockup,https://corporate.target.com/
clients,thomson-reuters,thomson-reuters.svg,thomson-reuters.png,thomson-reuters-black.svg,thomson-reuters-black.png,thomson-reuters-white.svg,thomson-reuters-white.png,published vector,,,https://commons.wikimedia.org/wiki/File:Thomson_Reuters_logo.svg
clients,toppan-merrill,toppan-merrill.svg,toppan-merrill.png,toppan-merrill-black.svg,toppan-merrill-black.png,toppan-merrill-white.svg,toppan-merrill-white.png,native,,,https://www.rbaconsulting.com/wp-content/uploads/2025/04/Toppan-Merrill.svg
clients,toro,toro.svg,toro.png,toro-black.svg,toro-black.png,toro-white.svg,toro-white.png,traced,_raster-originals/clients/toro-lockup-2104px.png,retraced from The Toro Company's own 2104px corporate lockup (badge cropped out of it) instead of a 154px web PNG; no vendor SVG exists,https://www.thetorocompany.com/sites/g/files/knoqqb110666/themes/site/nir_pid1048/dist/images/toro-logo-black.png
clients,unitedhealthcare,unitedhealthcare.svg,unitedhealthcare.png,unitedhealthcare-black.svg,unitedhealthcare-black.png,unitedhealthcare-white.svg,unitedhealthcare-white.png,published vector,,deck art was 53x9; this is their own vector,https://www.uhc.com/
clients,university-of-minnesota,university-of-minnesota.svg,university-of-minnesota.png,university-of-minnesota-black.svg,university-of-minnesota-black.png,university-of-minnesota-white.svg,university-of-minnesota-white.png,published vector,,"inlined in their page markup rather than served as a file, so the first two scrapes missed it",https://twin-cities.umn.edu/
clients,university-of-minnesota-physicians,university-of-minnesota-physicians.svg,university-of-minnesota-physicians.png,university-of-minnesota-physicians-black.svg,university-of-minnesota-physicians-black.png,university-of-minnesota-physicians-white.svg,university-of-minnesota-physicians-white.png,published vector,,,https://mphysicians.org/
clients,university-of-south-dakota,university-of-south-dakota.svg,university-of-south-dakota.png,university-of-south-dakota-black.svg,university-of-south-dakota-black.png,university-of-south-dakota-white.svg,university-of-south-dakota-white.png,published vector,,,https://www.usd.edu/
clients,upper-lakes-foods,upper-lakes-foods.svg,upper-lakes-foods.png,upper-lakes-foods-black.svg,upper-lakes-foods-black.png,upper-lakes-foods-white.svg,upper-lakes-foods-white.png,traced,_raster-originals/clients/upper-lakes-foods-source.png,traced from their own 600px logotype,https://upperlakesfoods.com/
clients,wex,wex.svg,wex.png,wex-black.svg,wex-black.png,wex-white.svg,wex-white.png,published vector,,"WEX publishes a vector only in white and colour only as a 100x29 raster. This is their own vector with their own red (#c8102e, sampled from that raster) in place of white: the two silhouettes agree to IoU 0.969, so no letterform is invented. The grey wedge inside the X is grey only in the reversed cut; their colour art has no grey pixels there",https://www.wexinc.com/wp-content/uploads/2026/02/WEX_Logo_White_Vector.svg
certifications,aws-certified-solutions-architect,aws-certified-solutions-architect.svg,aws-certified-solutions-architect.png,aws-certified-solutions-architect-black.svg,aws-certified-solutions-architect-black.png,aws-certified-solutions-architect-white.svg,aws-certified-solutions-architect-white.png,traced,_raster-originals/certifications/aws-certified-solutions-architect-source.png,"AWS's own Solutions Architect Associate badge via Credly at 600px, traced; the blue gradient is approximated in six steps",https://images.credly.com/size/680x680/images/0e284c3f-5164-4b21-8660-0d84737941bc/image.png
certifications,cissp,cissp.svg,cissp.png,cissp-black.svg,cissp-black.png,cissp-white.svg,cissp-white.png,traced,_raster-originals/certifications/cissp-source.png,"ISC2's own badge art via Credly at 600px, traced; flat artwork so the trace is near-exact",https://images.credly.com/size/680x680/images/6eeb0a98-33cb-4f72-bfc3-f89d65a3286c/image.png
certifications,csm,csm.svg,csm.png,csm-black.svg,csm-black.png,csm-white.svg,csm-white.png,traced,_raster-originals/certifications/csm-source.png,"current 2024 badge, cropped out of Scrum Alliance's own badge sheet; only 153px was available anywhere, so the Scrum Alliance sub-line is soft. Lowest-fidelity file in the library",https://resource-assets.scrumalliance.org/uploads/2024/7/3/New%20Badges%20(1)-pmDdHCbGk2fbN3NlVeR0A.png
certifications,glassdoor,glassdoor.svg,glassdoor.png,glassdoor-black.svg,glassdoor-black.png,glassdoor-white.svg,glassdoor-white.png,published vector,,"Glassdoor's own artwork via Commons, current 2023 wordmark",https://commons.wikimedia.org/wiki/File:Glassdoor_Logo_2023.svg
certifications,google-analytics,google-analytics.svg,google-analytics.png,google-analytics-black.svg,google-analytics-black.png,google-analytics-white.svg,google-analytics-white.png,published vector,,issuer mark for the Google Analytics certification the deck claims,https://commons.wikimedia.org/wiki/File:Logo_Google_Analytics.svg
certifications,isc2,isc2.svg,isc2.png,isc2-black.svg,isc2-black.png,isc2-white.svg,isc2-white.png,published vector,,issuer mark for the CISSP the deck claims; ISC2 publishes no separate CISSP badge as a vector,https://commons.wikimedia.org/wiki/File:ISC2_Logo.svg
certifications,microsoft-certified-associate,microsoft-certified-associate.svg,microsoft-certified-associate.png,microsoft-certified-associate-black.svg,microsoft-certified-associate-black.png,microsoft-certified-associate-white.svg,microsoft-certified-associate-white.png,published vector,,"Microsoft's own vector, the Associate tier sibling of the Expert shield",https://learn.microsoft.com/en-us/media/learn/certification/badges/microsoft-certified-associate-badge.svg
certifications,microsoft-certified-expert,microsoft-certified-expert.svg,microsoft-certified-expert.png,microsoft-certified-expert-black.svg,microsoft-certified-expert-black.png,microsoft-certified-expert-white.svg,microsoft-certified-expert-white.png,published vector,,"Microsoft's own vector. This is the badge for Azure Solutions Architect Expert: current Microsoft badges carry the tier, not the certification name, which lives in the Credly metadata",https://learn.microsoft.com/en-us/media/learn/certification/badges/microsoft-certified-expert-badge.svg
